,seed,num_modules,module_max_qubits,module_max_gates,buffer_distance,reduced_distance,max_allowed_weight,num_qubits_x,num_qubits_y,circuit_depth,q_map_depth,circuit_total_qutbis,q_map_total_qubits,circuit_gate_count,q_map_gate_count,circuit_t_count,q_map_t_count,circuit_t_depth,q_map_t_depth,time
0,1.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,10.0,10.0,5.0,4.0,21.0,21.0,1.0,1.0,1.0,1.0,0.3
1,2.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,6.0,12.0,12.0,17.0,17.0,4.0,4.0,1.0,1.0,16.2
2,3.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,12.0,9.0,8.0,20.0,20.0,3.0,3.0,1.0,1.0,4.7
3,4.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,9.0,6.0,3.0,10.0,10.0,2.0,2.0,1.0,1.0,0.1
4,5.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,8.0,10.0,8.0,7.0,16.0,16.0,5.0,5.0,1.0,2.0,17.2
5,6.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,9.0,10.0,13.0,13.0,22.0,22.0,4.0,4.0,1.0,1.0,17.6
6,7.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,8.0,8.0,6.0,6.0,16.0,16.0,0.0,0.0,0.0,0.0,3.7
7,8.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,16.0,14.0,7.0,3.0,22.0,19.0,5.0,5.0,1.0,1.0,0.1
8,9.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,11.0,9.0,7.0,19.0,19.0,3.0,3.0,2.0,1.0,4.3
9,10.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,11.0,10.0,17.0,17.0,0.0,0.0,0.0,0.0,15.1
10,11.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,9.0,10.0,13.0,21.0,21.0,4.0,4.0,2.0,2.0,58.9
11,12.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,11.0,11.0,7.0,20.0,20.0,5.0,5.0,1.0,2.0,4.4
12,13.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,8.0,7.0,14.0,14.0,3.0,3.0,1.0,2.0,3.8
13,14.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,12.0,8.0,7.0,19.0,19.0,2.0,2.0,1.0,1.0,1.7
14,15.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,7.0,9.0,8.0,13.0,13.0,0.0,0.0,0.0,0.0,7.0
15,16.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,4.0,9.0,9.0,7.0,13.0,13.0,0.0,0.0,0.0,0.0,4.6
16,17.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,8.0,11.0,11.0,9.0,16.0,16.0,2.0,2.0,1.0,1.0,24.4
17,18.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,9.0,8.0,7.0,18.0,18.0,0.0,0.0,0.0,0.0,2.1
18,19.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,4.0,6.0,9.0,9.0,13.0,13.0,4.0,4.0,1.0,1.0,7.6
19,20.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,11.0,15.0,9.0,4.0,18.0,18.0,6.0,6.0,2.0,1.0,0.1
20,21.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,9.0,9.0,8.0,17.0,17.0,2.0,2.0,1.0,1.0,31.5
21,22.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,14.0,9.0,7.0,6.0,20.0,17.0,7.0,7.0,2.0,1.0,0.3
22,23.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,6.0,9.0,7.0,18.0,18.0,6.0,6.0,1.0,1.0,9.7
23,24.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,5.0,7.0,7.0,13.0,13.0,7.0,7.0,2.0,2.0,9.7
24,25.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,4.0,8.0,11.0,10.0,18.0,18.0,3.0,3.0,1.0,1.0,23.9
25,26.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,9.0,12.0,11.0,8.0,18.0,18.0,7.0,7.0,2.0,2.0,2.7
26,27.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,10.0,7.0,6.0,17.0,17.0,8.0,8.0,2.0,2.0,2.5
27,28.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,10.0,7.0,7.0,14.0,14.0,0.0,0.0,0.0,0.0,2.5
28,29.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,11.0,7.0,5.0,19.0,19.0,0.0,0.0,0.0,0.0,0.3
29,30.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,4.0,6.0,9.0,8.0,11.0,13.0,0.0,0.0,0.0,0.0,10.1
30,31.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,9.0,9.0,13.0,13.0,1.0,1.0,1.0,1.0,7.0
31,32.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,10.0,8.0,6.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
32,33.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,11.0,8.0,8.0,6.0,17.0,14.0,3.0,3.0,1.0,1.0,0.8
33,34.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,6.0,11.0,11.0,17.0,17.0,1.0,1.0,1.0,1.0,43.1
34,35.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,7.0,10.0,9.0,15.0,15.0,2.0,2.0,1.0,1.0,13.7
35,36.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,7.0,10.0,9.0,21.0,21.0,0.0,0.0,0.0,0.0,15.0
36,37.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,8.0,9.0,9.0,15.0,15.0,5.0,5.0,1.0,1.0,7.5
37,38.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,8.0,12.0,12.0,19.0,19.0,4.0,4.0,1.0,1.0,68.2
38,39.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,13.0,9.0,4.0,15.0,15.0,0.0,0.0,0.0,0.0,0.1
39,40.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,8.0,8.0,18.0,18.0,2.0,2.0,1.0,1.0,6.5
40,41.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,12.0,11.0,9.0,18.0,18.0,1.0,1.0,1.0,1.0,15.0
41,42.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,5.0,6.0,6.0,9.0,9.0,4.0,4.0,3.0,1.0,0.4
42,43.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,7.0,6.0,5.0,11.0,11.0,1.0,1.0,1.0,1.0,0.2
43,44.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,6.0,8.0,7.0,12.0,12.0,0.0,0.0,0.0,0.0,8.4
44,45.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,9.0,9.0,6.0,14.0,14.0,0.0,0.0,0.0,0.0,2.6
45,46.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,8.0,10.0,9.0,21.0,21.0,2.0,2.0,1.0,1.0,6.7
46,47.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,10.0,10.0,19.0,19.0,0.0,0.0,0.0,0.0,13.7
47,48.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,7.0,11.0,10.0,13.0,13.0,1.0,1.0,1.0,1.0,10.7
48,49.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,8.0,7.0,13.0,13.0,1.0,1.0,1.0,1.0,0.6
49,50.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,10.0,9.0,8.0,16.0,16.0,2.0,2.0,2.0,1.0,1.3
